Time, 10 (2), , , , , , , 21 (6), , , , , , , 33 (9), , , , , , , 39 (10), , , , , , , 45 (11), , , , , , , 56 (15), , , , , , , 57 (16), , , , , , , 5 (12), , , , , , , 62 (17), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 229.429, 0, 0, 88.7036, 0, 0, 0, 233.738, 0, 0, 100, 0, 0, 0, 237.02, 0, 0, 98.0846, 0, 0, 0, 233.455, 0, 0, 100, 0, 0, 0, 233.336, 0, 0, 98.4892, 0, 0, 0, 233.891, 0, 0, 100, 0, 0, 0, 233.903, 0, 0, 98.3388, 0, 0, 0, 228.853, 0, 0, 90.8011, 0, 0, 0, 233.789, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 229.46, 0, 0, 94.4512, 0, 0, 0, 233.771, 0, 0, 100, 0, 0, 0, 237.046, 0, 0, 98.0846, 0, 0, 0, 233.501, 0, 0, 100, 0, 0, 0, 233.387, 0, 0, 98.4892, 0, 0, 0, 233.923, 0, 0, 100, 0, 0, 0, 233.923, 0, 0, 98.3388, 0, 0, 0, 228.872, 0, 0, 96.5214, 0, 0, 0, 233.828, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 236.659, 0, 0, 100, 0, 0, 0, 236.556, 0, 0, 100, 0, 0, 0, 237.256, 0, 0, 98.0846, 0, 0, 0, 236.368, 0, 0, 100, 0, 0, 0, 236.275, 0, 0, 98.4892, 0, 0, 0, 236.67, 0, 0, 100, 0, 0, 0, 236.723, 0, 0, 98.3388, 0, 0, 0, 236.789, 0, 0, 100, 0, 0, 0, 236.587, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 236.789, 0, 0, 100, 0, 0, 0, 236.692, 0, 0, 100, 0, 0, 0, 237.362, 0, 0, 98.0846, 0, 0, 0, 236.515, 0, 0, 100, 0, 0, 0, 236.428, 0, 0, 98.4892, 0, 0, 0, 236.8, 0, 0, 100, 0, 0, 0, 236.847, 0, 0, 98.3388, 0, 0, 0, 236.91, 0, 0, 100, 0, 0, 0, 236.723, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 236.017, 0, 0, 100, 0, 0, 0, 235.901, 0, 0, 100, 0, 0, 0, 236.78, 0, 0, 98.0846, 0, 0, 0, 235.706, 0, 0, 100, 0, 0, 0, 235.609, 0, 0, 98.4892, 0, 0, 0, 236.036, 0, 0, 100, 0, 0, 0, 236.06, 0, 0, 98.3388, 0, 0, 0, 236.144, 0, 0, 100, 0, 0, 0, 235.957, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 236.932, 0, 0, 100, 0, 0, 0, 236.84, 0, 0, 100, 0, 0, 0, 237.478, 0, 0, 98.0846, 0, 0, 0, 236.675, 0, 0, 100, 0, 0, 0, 236.593, 0, 0, 98.4892, 0, 0, 0, 236.943, 0, 0, 100, 0, 0, 0, 236.985, 0, 0, 98.3388, 0, 0, 0, 237.045, 0, 0, 100, 0, 0, 0, 236.871, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 237.165, 0, 0, 100, 0, 0, 0, 237.079, 0, 0, 100, 0, 0, 0, 237.654, 0, 0, 98.0846, 0, 0, 0, 236.92, 0, 0, 100, 0, 0, 0, 236.841, 0, 0, 98.4892, 0, 0, 0, 237.174, 0, 0, 100, 0, 0, 0, 237.222, 0, 0, 98.3388, 0, 0, 0, 237.276, 0, 0, 100, 0, 0, 0, 237.103, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 236.89, 0, 0, 100, 0, 0, 0, 236.796, 0, 0, 100, 0, 0, 0, 237.443, 0, 0, 98.0846, 0, 0, 0, 236.627, 0, 0, 100, 0, 0, 0, 236.543, 0, 0, 98.4892, 0, 0, 0, 236.9, 0, 0, 100, 0, 0, 0, 236.945, 0, 0, 98.3388, 0, 0, 0, 237.006, 0, 0, 100, 0, 0, 0, 236.826, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 236.598, 0, 0, 100, 0, 0, 0, 236.498, 0, 0, 100, 0, 0, 0, 237.224, 0, 0, 98.0846, 0, 0, 0, 236.322, 0, 0, 100, 0, 0, 0, 236.235, 0, 0, 98.4892, 0, 0, 0, 236.612, 0, 0, 100, 0, 0, 0, 236.647, 0, 0, 98.3388, 0, 0, 0, 236.716, 0, 0, 100, 0, 0, 0, 236.538, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 236.208, 0, 0, 100, 0, 0, 0, 236.097, 0, 0, 100, 0, 0, 0, 236.921, 0, 0, 98.0846, 0, 0, 0, 235.903, 0, 0, 100, 0, 0, 0, 235.807, 0, 0, 98.4892, 0, 0, 0, 236.225, 0, 0, 100, 0, 0, 0, 236.258, 0, 0, 98.3388, 0, 0, 0, 236.337, 0, 0, 100, 0, 0, 0, 236.144, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 236.427, 0, 0, 100, 0, 0, 0, 236.32, 0, 0, 100, 0, 0, 0, 237.082, 0, 0, 98.0846, 0, 0, 0, 236.127, 0, 0, 100, 0, 0, 0, 236.032, 0, 0, 98.4892, 0, 0, 0, 236.441, 0, 0, 100, 0, 0, 0, 236.486, 0, 0, 98.3388, 0, 0, 0, 236.558, 0, 0, 100, 0, 0, 0, 236.358, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 236.456, 0, 0, 100, 0, 0, 0, 236.345, 0, 0, 100, 0, 0, 0, 237.088, 0, 0, 98.0846, 0, 0, 0, 236.138, 0, 0, 100, 0, 0, 0, 236.036, 0, 0, 98.4892, 0, 0, 0, 236.467, 0, 0, 100, 0, 0, 0, 236.531, 0, 0, 98.3388, 0, 0, 0, 236.601, 0, 0, 100, 0, 0, 0, 236.374, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 236.268, 0, 0, 100, 0, 0, 0, 236.15, 0, 0, 100, 0, 0, 0, 236.936, 0, 0, 98.0846, 0, 0, 0, 235.928, 0, 0, 100, 0, 0, 0, 235.818, 0, 0, 98.4892, 0, 0, 0, 236.28, 0, 0, 100, 0, 0, 0, 236.35, 0, 0, 98.3388, 0, 0, 0, 236.424, 0, 0, 100, 0, 0, 0, 236.179, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 234.483, 0, 0, 100, 0, 0, 0, 234.319, 0, 0, 100, 0, 0, 0, 235.573, 0, 0, 98.0846, 0, 0, 0, 234.041, 0, 0, 100, 0, 0, 0, 233.902, 0, 0, 98.4892, 0, 0, 0, 234.51, 0, 0, 100, 0, 0, 0, 234.545, 0, 0, 98.3388, 0, 0, 0, 234.665, 0, 0, 100, 0, 0, 0, 234.398, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 234.719, 0, 0, 100, 0, 0, 0, 234.558, 0, 0, 100, 0, 0, 0, 235.742, 0, 0, 98.0846, 0, 0, 0, 234.276, 0, 0, 100, 0, 0, 0, 234.136, 0, 0, 98.4892, 0, 0, 0, 234.742, 0, 0, 100, 0, 0, 0, 234.795, 0, 0, 98.3388, 0, 0, 0, 234.908, 0, 0, 100, 0, 0, 0, 234.624, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 234.261, 0, 0, 100, 0, 0, 0, 234.087, 0, 0, 100, 0, 0, 0, 235.384, 0, 0, 98.0846, 0, 0, 0, 233.781, 0, 0, 100, 0, 0, 0, 233.63, 0, 0, 98.4892, 0, 0, 0, 234.287, 0, 0, 100, 0, 0, 0, 234.341, 0, 0, 98.3388, 0, 0, 0, 234.465, 0, 0, 100, 0, 0, 0, 234.16, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 234.532, 0, 0, 100, 0, 0, 0, 234.365, 0, 0, 100, 0, 0, 0, 235.593, 0, 0, 98.0846, 0, 0, 0, 234.069, 0, 0, 100, 0, 0, 0, 233.923, 0, 0, 98.4892, 0, 0, 0, 234.556, 0, 0, 100, 0, 0, 0, 234.613, 0, 0, 98.3388, 0, 0, 0, 234.73, 0, 0, 100, 0, 0, 0, 234.431, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 234.212, 0, 0, 100, 0, 0, 0, 234.041, 0, 0, 100, 0, 0, 0, 235.362, 0, 0, 98.0846, 0, 0, 0, 233.749, 0, 0, 100, 0, 0, 0, 233.605, 0, 0, 98.4892, 0, 0, 0, 234.241, 0, 0, 100, 0, 0, 0, 234.275, 0, 0, 98.3388, 0, 0, 0, 234.402, 0, 0, 100, 0, 0, 0, 234.124, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 234.315, 0, 0, 100, 0, 0, 0, 234.146, 0, 0, 100, 0, 0, 0, 235.442, 0, 0, 98.0846, 0, 0, 0, 233.86, 0, 0, 100, 0, 0, 0, 233.718, 0, 0, 98.4892, 0, 0, 0, 234.343, 0, 0, 100, 0, 0, 0, 234.377, 0, 0, 98.3388, 0, 0, 0, 234.502, 0, 0, 100, 0, 0, 0, 234.228, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 235.179, 0, 0, 100, 0, 0, 0, 235.032, 0, 0, 100, 0, 0, 0, 236.101, 0, 0, 98.0846, 0, 0, 0, 234.771, 0, 0, 100, 0, 0, 0, 234.642, 0, 0, 98.4892, 0, 0, 0, 235.199, 0, 0, 100, 0, 0, 0, 235.253, 0, 0, 98.3388, 0, 0, 0, 235.355, 0, 0, 100, 0, 0, 0, 235.089, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 235.875, 0, 0, 100, 0, 0, 0, 235.747, 0, 0, 100, 0, 0, 0, 236.635, 0, 0, 98.0846, 0, 0, 0, 235.511, 0, 0, 100, 0, 0, 0, 235.394, 0, 0, 98.4892, 0, 0, 0, 235.89, 0, 0, 100, 0, 0, 0, 235.954, 0, 0, 98.3388, 0, 0, 0, 236.038, 0, 0, 100, 0, 0, 0, 235.786, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 236.349, 0, 0, 100, 0, 0, 0, 236.234, 0, 0, 100, 0, 0, 0, 237.001, 0, 0, 98.0846, 0, 0, 0, 236.017, 0, 0, 100, 0, 0, 0, 235.91, 0, 0, 98.4892, 0, 0, 0, 236.36, 0, 0, 100, 0, 0, 0, 236.429, 0, 0, 98.3388, 0, 0, 0, 236.502, 0, 0, 100, 0, 0, 0, 236.262, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 235.855, 0, 0, 100, 0, 0, 0, 235.727, 0, 0, 100, 0, 0, 0, 236.624, 0, 0, 98.0846, 0, 0, 0, 235.494, 0, 0, 100, 0, 0, 0, 235.38, 0, 0, 98.4892, 0, 0, 0, 235.87, 0, 0, 100, 0, 0, 0, 235.929, 0, 0, 98.3388, 0, 0, 0, 236.014, 0, 0, 100, 0, 0, 0, 235.769, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 235.782, 0, 0, 100, 0, 0, 0, 235.652, 0, 0, 100, 0, 0, 0, 236.565, 0, 0, 98.0846, 0, 0, 0, 235.413, 0, 0, 100, 0, 0, 0, 235.295, 0, 0, 98.4892, 0, 0, 0, 235.798, 0, 0, 100, 0, 0, 0, 235.86, 0, 0, 98.3388, 0, 0, 0, 235.947, 0, 0, 100, 0, 0, 0, 235.693, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 235.68, 0, 0, 100, 0, 0, 0, 235.546, 0, 0, 100, 0, 0, 0, 236.485, 0, 0, 98.0846, 0, 0, 0, 235.302, 0, 0, 100, 0, 0, 0, 235.182, 0, 0, 98.4892, 0, 0, 0, 235.696, 0, 0, 100, 0, 0, 0, 235.758, 0, 0, 98.3388, 0, 0, 0, 235.847, 0, 0, 100, 0, 0, 0, 235.59, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 235.189, 0, 0, 100, 0, 0, 0, 235.043, 0, 0, 100, 0, 0, 0, 236.111, 0, 0, 98.0846, 0, 0, 0, 234.785, 0, 0, 100, 0, 0, 0, 234.657, 0, 0, 98.4892, 0, 0, 0, 235.21, 0, 0, 100, 0, 0, 0, 235.26, 0, 0, 98.3388, 0, 0, 0, 235.362, 0, 0, 100, 0, 0, 0, 235.101, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 236.125, 0, 0, 100, 0, 0, 0, 236.002, 0, 0, 100, 0, 0, 0, 236.819, 0, 0, 98.0846, 0, 0, 0, 235.766, 0, 0, 100, 0, 0, 0, 235.651, 0, 0, 98.4892, 0, 0, 0, 236.137, 0, 0, 100, 0, 0, 0, 236.214, 0, 0, 98.3388, 0, 0, 0, 236.291, 0, 0, 100, 0, 0, 0, 236.03, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 236.016, 0, 0, 100, 0, 0, 0, 235.892, 0, 0, 100, 0, 0, 0, 236.744, 0, 0, 98.0846, 0, 0, 0, 235.661, 0, 0, 100, 0, 0, 0, 235.547, 0, 0, 98.4892, 0, 0, 0, 236.03, 0, 0, 100, 0, 0, 0, 236.096, 0, 0, 98.3388, 0, 0, 0, 236.177, 0, 0, 100, 0, 0, 0, 235.927, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 235.083, 0, 0, 100, 0, 0, 0, 234.936, 0, 0, 100, 0, 0, 0, 236.036, 0, 0, 98.0846, 0, 0, 0, 234.68, 0, 0, 100, 0, 0, 0, 234.553, 0, 0, 98.4892, 0, 0, 0, 235.106, 0, 0, 100, 0, 0, 0, 235.148, 0, 0, 98.3388, 0, 0, 0, 235.253, 0, 0, 100, 0, 0, 0, 235, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 234.727, 0, 0, 100, 0, 0, 0, 234.572, 0, 0, 100, 0, 0, 0, 235.768, 0, 0, 98.0846, 0, 0, 0, 234.309, 0, 0, 100, 0, 0, 0, 234.179, 0, 0, 98.4892, 0, 0, 0, 234.753, 0, 0, 100, 0, 0, 0, 234.783, 0, 0, 98.3388, 0, 0, 0, 234.898, 0, 0, 100, 0, 0, 0, 234.648, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 235.991, 0, 0, 100, 0, 0, 0, 235.864, 0, 0, 100, 0, 0, 0, 236.718, 0, 0, 98.0846, 0, 0, 0, 235.625, 0, 0, 100, 0, 0, 0, 235.508, 0, 0, 98.4892, 0, 0, 0, 236.004, 0, 0, 100, 0, 0, 0, 236.078, 0, 0, 98.3388, 0, 0, 0, 236.159, 0, 0, 100, 0, 0, 0, 235.897, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 235.189, 0, 0, 100, 0, 0, 0, 235.04, 0, 0, 100, 0, 0, 0, 236.1, 0, 0, 98.0846, 0, 0, 0, 234.77, 0, 0, 100, 0, 0, 0, 234.637, 0, 0, 98.4892, 0, 0, 0, 235.208, 0, 0, 100, 0, 0, 0, 235.272, 0, 0, 98.3388, 0, 0, 0, 235.373, 0, 0, 100, 0, 0, 0, 235.091, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 235.484, 0, 0, 100, 0, 0, 0, 235.34, 0, 0, 100, 0, 0, 0, 236.314, 0, 0, 98.0846, 0, 0, 0, 235.067, 0, 0, 100, 0, 0, 0, 234.933, 0, 0, 98.4892, 0, 0, 0, 235.499, 0, 0, 100, 0, 0, 0, 235.583, 0, 0, 98.3388, 0, 0, 0, 235.675, 0, 0, 100, 0, 0, 0, 235.376, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 234.373, 0, 0, 100, 0, 0, 0, 234.2, 0, 0, 100, 0, 0, 0, 235.46, 0, 0, 98.0846, 0, 0, 0, 233.887, 0, 0, 100, 0, 0, 0, 233.733, 0, 0, 98.4892, 0, 0, 0, 234.397, 0, 0, 100, 0, 0, 0, 234.465, 0, 0, 98.3388, 0, 0, 0, 234.585, 0, 0, 100, 0, 0, 0, 234.264, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 234.101, 0, 0, 100, 0, 0, 0, 233.918, 0, 0, 100, 0, 0, 0, 235.236, 0, 0, 98.0846, 0, 0, 0, 233.578, 0, 0, 100, 0, 0, 0, 233.411, 0, 0, 98.4892, 0, 0, 0, 234.125, 0, 0, 100, 0, 0, 0, 234.208, 0, 0, 98.3388, 0, 0, 0, 234.334, 0, 0, 100, 0, 0, 0, 233.979, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 232.659, 0, 0, 100, 0, 0, 0, 232.435, 0, 0, 100, 0, 0, 0, 234.118, 0, 0, 98.0846, 0, 0, 0, 232.037, 0, 0, 100, 0, 0, 0, 231.841, 0, 0, 98.4892, 0, 0, 0, 232.693, 0, 0, 100, 0, 0, 0, 232.763, 0, 0, 98.3388, 0, 0, 0, 232.924, 0, 0, 100, 0, 0, 0, 232.528, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 231.768, 0, 0, 100, 0, 0, 0, 231.518, 0, 0, 100, 0, 0, 0, 233.419, 0, 0, 98.0846, 0, 0, 0, 231.075, 0, 0, 100, 0, 0, 0, 230.858, 0, 0, 98.4892, 0, 0, 0, 231.807, 0, 0, 100, 0, 0, 0, 231.88, 0, 0, 98.3388, 0, 0, 0, 232.062, 0, 0, 100, 0, 0, 0, 231.625, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 219.957, 0, 0, 90.2564, 0, 0, 0, 218.633, 0, 0, 90.2564, 0, 0, 0, 226.401, 0, 0, 88.341, 0, 0, 0, 215.833, 0, 0, 90.2564, 0, 0, 0, 214.969, 0, 0, 88.7456, 0, 0, 0, 219.582, 0, 0, 90.2564, 0, 0, 0, 220.849, 0, 0, 88.5952, 0, 0, 0, 220.571, 0, 0, 90.2564, 0, 0, 0, 218.738, 0, 0, 90.2564, 0, 0, 0, 
2019 Aug 19 (Mon) 19:00, 219.55, 0, 0, 95.9848, 0, 0, 0, 218.216, 0, 0, 95.9848, 0, 0, 0, 226.064, 0, 0, 94.0933, 0, 0, 0, 215.412, 0, 0, 95.9848, 0, 0, 0, 214.543, 0, 0, 94.4931, 0, 0, 0, 219.177, 0, 0, 95.9848, 0, 0, 0, 220.435, 0, 0, 94.3452, 0, 0, 0, 220.168, 0, 0, 95.9848, 0, 0, 0, 218.333, 0, 0, 95.9848, 0, 0, 0, 
2019 Aug 19 (Mon) 19:30, 232.247, 0, 0, 100, 0, 0, 0, 232.005, 0, 0, 100, 0, 0, 0, 233.767, 0, 0, 99.7645, 0, 0, 0, 231.55, 0, 0, 100, 0, 0, 0, 231.328, 0, 0, 100, 0, 0, 0, 232.279, 0, 0, 100, 0, 0, 0, 232.391, 0, 0, 100, 0, 0, 0, 232.558, 0, 0, 100, 0, 0, 0, 232.084, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:00, 233.07, 0, 0, 100, 0, 0, 0, 232.851, 0, 0, 100, 0, 0, 0, 234.403, 0, 0, 99.7645, 0, 0, 0, 232.426, 0, 0, 100, 0, 0, 0, 232.22, 0, 0, 100, 0, 0, 0, 233.096, 0, 0, 100, 0, 0, 0, 233.218, 0, 0, 100, 0, 0, 0, 233.365, 0, 0, 100, 0, 0, 0, 232.91, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 20:30, 230.608, 0, 0, 100, 0, 0, 0, 230.327, 0, 0, 100, 0, 0, 0, 232.519, 0, 0, 99.7645, 0, 0, 0, 229.84, 0, 0, 100, 0, 0, 0, 229.6, 0, 0, 100, 0, 0, 0, 230.656, 0, 0, 100, 0, 0, 0, 230.716, 0, 0, 100, 0, 0, 0, 230.926, 0, 0, 100, 0, 0, 0, 230.46, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:00, 231.917, 0, 0, 100, 0, 0, 0, 231.669, 0, 0, 100, 0, 0, 0, 233.525, 0, 0, 99.7645, 0, 0, 0, 231.219, 0, 0, 100, 0, 0, 0, 230.999, 0, 0, 100, 0, 0, 0, 231.953, 0, 0, 100, 0, 0, 0, 232.041, 0, 0, 100, 0, 0, 0, 232.218, 0, 0, 100, 0, 0, 0, 231.766, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 21:30, 232.142, 0, 0, 100, 0, 0, 0, 231.902, 0, 0, 100, 0, 0, 0, 233.706, 0, 0, 99.7645, 0, 0, 0, 231.469, 0, 0, 100, 0, 0, 0, 231.257, 0, 0, 100, 0, 0, 0, 232.178, 0, 0, 100, 0, 0, 0, 232.259, 0, 0, 100, 0, 0, 0, 232.432, 0, 0, 100, 0, 0, 0, 231.998, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:00, 232.851, 0, 0, 100, 0, 0, 0, 232.632, 0, 0, 100, 0, 0, 0, 234.266, 0, 0, 99.7645, 0, 0, 0, 232.24, 0, 0, 100, 0, 0, 0, 232.047, 0, 0, 100, 0, 0, 0, 232.883, 0, 0, 100, 0, 0, 0, 232.958, 0, 0, 100, 0, 0, 0, 233.114, 0, 0, 100, 0, 0, 0, 232.719, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 22:30, 233.222, 0, 0, 100, 0, 0, 0, 233.015, 0, 0, 100, 0, 0, 0, 234.562, 0, 0, 99.7645, 0, 0, 0, 232.648, 0, 0, 100, 0, 0, 0, 232.467, 0, 0, 100, 0, 0, 0, 233.253, 0, 0, 100, 0, 0, 0, 233.319, 0, 0, 100, 0, 0, 0, 233.467, 0, 0, 100, 0, 0, 0, 233.1, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:00, 233.842, 0, 0, 100, 0, 0, 0, 233.656, 0, 0, 100, 0, 0, 0, 235.054, 0, 0, 99.7645, 0, 0, 0, 233.327, 0, 0, 100, 0, 0, 0, 233.164, 0, 0, 100, 0, 0, 0, 233.871, 0, 0, 100, 0, 0, 0, 233.928, 0, 0, 100, 0, 0, 0, 234.061, 0, 0, 100, 0, 0, 0, 233.734, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 23:30, 234.069, 0, 0, 100, 0, 0, 0, 233.893, 0, 0, 100, 0, 0, 0, 235.247, 0, 0, 99.7645, 0, 0, 0, 233.591, 0, 0, 100, 0, 0, 0, 233.442, 0, 0, 100, 0, 0, 0, 234.098, 0, 0, 100, 0, 0, 0, 234.136, 0, 0, 100, 0, 0, 0, 234.266, 0, 0, 100, 0, 0, 0, 233.977, 0, 0, 100, 0, 0, 0, 
2019 Aug 20 (Tue) 0:00, 235.44, 0, 0, 100, 0, 0, 0, 235.303, 0, 0, 100, 0, 0, 0, 236.311, 0, 0, 99.7645, 0, 0, 0, 235.06, 0, 0, 100, 0, 0, 0, 234.94, 0, 0, 100, 0, 0, 0, 235.46, 0, 0, 100, 0, 0, 0, 235.506, 0, 0, 100, 0, 0, 0, 235.603, 0, 0, 100, 0, 0, 0, 235.358, 0, 0, 100, 0, 0, 0, 
