Time, 10 (2), , , , , , , 13 (5), , , , , , , 17 (9), , , , , , , 19 (11), , , , , , , 24 (17), , , , , , , 25 (18), , , , , , , 28 (21), , , , , , , 29 (22), , , , , , , 2 (12), , , , , , , 3 (23), , , , , , , 48 (43), , , , , , , 49 (44), , , , , , , 53 (49), , , , , , , 58 (54), , , , , , , 60 (57), , , , , , , 64 (61), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 0:00, 215.83, 0, 0, 97.0756, 0, 0, 0, 219.859, 0, 0, 96.1754, 0, 0, 0, 219.099, 0, 0, 94.9102, 0, 0, 0, 217.823, 0, 0, 96.8542, 0, 0, 0, 218.237, 0, 0, 88.5119, 0, 0, 0, 225.344, 0, 0, 100, 0, 0, 0, 217.691, 0, 0, 91.5087, 0, 0, 0, 225.445, 0, 0, 100, 0, 0, 0, 222.673, 0, 0, 100, 0, 0, 0, 216.423, 0, 0, 87.1611, 0, 0, 0, 219.262, 0, 0, 100, 0, 0, 0, 223.145, 0, 0, 100, 0, 0, 0, 225.007, 0, 0, 98.6111, 0, 0, 0, 223.593, 0, 0, 100, 0, 0, 0, 216.215, 0, 0, 91.2995, 0, 0, 0, 223.814, 0, 0, 100, 0, 0, 0, 215.458, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 215.952, 0, 0, 97.0756, 0, 0, 0, 219.934, 0, 0, 96.1754, 0, 0, 0, 219.193, 0, 0, 94.9102, 0, 0, 0, 217.946, 0, 0, 96.8542, 0, 0, 0, 218.33, 0, 0, 88.5119, 0, 0, 0, 225.412, 0, 0, 100, 0, 0, 0, 217.794, 0, 0, 91.5087, 0, 0, 0, 225.523, 0, 0, 100, 0, 0, 0, 222.769, 0, 0, 100, 0, 0, 0, 216.566, 0, 0, 87.1611, 0, 0, 0, 219.438, 0, 0, 100, 0, 0, 0, 223.224, 0, 0, 100, 0, 0, 0, 225.06, 0, 0, 98.6111, 0, 0, 0, 223.683, 0, 0, 100, 0, 0, 0, 216.323, 0, 0, 91.2995, 0, 0, 0, 223.911, 0, 0, 100, 0, 0, 0, 215.57, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 219.149, 0, 0, 97.0756, 0, 0, 0, 223.245, 0, 0, 96.1754, 0, 0, 0, 222.577, 0, 0, 94.9102, 0, 0, 0, 221.29, 0, 0, 96.8542, 0, 0, 0, 221.551, 0, 0, 88.5119, 0, 0, 0, 228.767, 0, 0, 100, 0, 0, 0, 221.049, 0, 0, 91.5087, 0, 0, 0, 228.925, 0, 0, 100, 0, 0, 0, 226.209, 0, 0, 100, 0, 0, 0, 219.853, 0, 0, 87.1611, 0, 0, 0, 222.892, 0, 0, 100, 0, 0, 0, 226.455, 0, 0, 100, 0, 0, 0, 228.342, 0, 0, 98.6111, 0, 0, 0, 226.966, 0, 0, 100, 0, 0, 0, 219.465, 0, 0, 91.2995, 0, 0, 0, 227.219, 0, 0, 100, 0, 0, 0, 218.72, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 219.543, 0, 0, 97.0756, 0, 0, 0, 223.617, 0, 0, 96.1754, 0, 0, 0, 222.969, 0, 0, 94.9102, 0, 0, 0, 221.7, 0, 0, 96.8542, 0, 0, 0, 221.927, 0, 0, 88.5119, 0, 0, 0, 229.14, 0, 0, 100, 0, 0, 0, 221.436, 0, 0, 91.5087, 0, 0, 0, 229.309, 0, 0, 100, 0, 0, 0, 226.608, 0, 0, 100, 0, 0, 0, 220.27, 0, 0, 87.1611, 0, 0, 0, 223.348, 0, 0, 100, 0, 0, 0, 226.823, 0, 0, 100, 0, 0, 0, 228.697, 0, 0, 98.6111, 0, 0, 0, 227.346, 0, 0, 100, 0, 0, 0, 219.844, 0, 0, 91.2995, 0, 0, 0, 227.606, 0, 0, 100, 0, 0, 0, 219.103, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 217.519, 0, 0, 97.0756, 0, 0, 0, 221.481, 0, 0, 96.1754, 0, 0, 0, 220.8, 0, 0, 94.9102, 0, 0, 0, 219.58, 0, 0, 96.8542, 0, 0, 0, 219.864, 0, 0, 88.5119, 0, 0, 0, 226.968, 0, 0, 100, 0, 0, 0, 219.359, 0, 0, 91.5087, 0, 0, 0, 227.115, 0, 0, 100, 0, 0, 0, 224.403, 0, 0, 100, 0, 0, 0, 218.205, 0, 0, 87.1611, 0, 0, 0, 221.199, 0, 0, 100, 0, 0, 0, 224.742, 0, 0, 100, 0, 0, 0, 226.561, 0, 0, 98.6111, 0, 0, 0, 225.241, 0, 0, 100, 0, 0, 0, 217.846, 0, 0, 91.2995, 0, 0, 0, 225.488, 0, 0, 100, 0, 0, 0, 217.103, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 219.964, 0, 0, 97.0756, 0, 0, 0, 224.024, 0, 0, 96.1754, 0, 0, 0, 223.395, 0, 0, 94.9102, 0, 0, 0, 222.138, 0, 0, 96.8542, 0, 0, 0, 222.334, 0, 0, 88.5119, 0, 0, 0, 229.547, 0, 0, 100, 0, 0, 0, 221.852, 0, 0, 91.5087, 0, 0, 0, 229.728, 0, 0, 100, 0, 0, 0, 227.041, 0, 0, 100, 0, 0, 0, 220.714, 0, 0, 87.1611, 0, 0, 0, 223.829, 0, 0, 100, 0, 0, 0, 227.223, 0, 0, 100, 0, 0, 0, 229.088, 0, 0, 98.6111, 0, 0, 0, 227.759, 0, 0, 100, 0, 0, 0, 220.251, 0, 0, 91.2995, 0, 0, 0, 228.025, 0, 0, 100, 0, 0, 0, 219.514, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 220.585, 0, 0, 97.0756, 0, 0, 0, 224.677, 0, 0, 96.1754, 0, 0, 0, 224.059, 0, 0, 94.9102, 0, 0, 0, 222.788, 0, 0, 96.8542, 0, 0, 0, 222.966, 0, 0, 88.5119, 0, 0, 0, 230.211, 0, 0, 100, 0, 0, 0, 222.489, 0, 0, 91.5087, 0, 0, 0, 230.398, 0, 0, 100, 0, 0, 0, 227.716, 0, 0, 100, 0, 0, 0, 221.349, 0, 0, 87.1611, 0, 0, 0, 224.491, 0, 0, 100, 0, 0, 0, 227.859, 0, 0, 100, 0, 0, 0, 229.74, 0, 0, 98.6111, 0, 0, 0, 228.403, 0, 0, 100, 0, 0, 0, 220.864, 0, 0, 91.2995, 0, 0, 0, 228.673, 0, 0, 100, 0, 0, 0, 220.127, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 219.834, 0, 0, 97.0756, 0, 0, 0, 223.903, 0, 0, 96.1754, 0, 0, 0, 223.267, 0, 0, 94.9102, 0, 0, 0, 222.003, 0, 0, 96.8542, 0, 0, 0, 222.211, 0, 0, 88.5119, 0, 0, 0, 229.426, 0, 0, 100, 0, 0, 0, 221.726, 0, 0, 91.5087, 0, 0, 0, 229.603, 0, 0, 100, 0, 0, 0, 226.91, 0, 0, 100, 0, 0, 0, 220.576, 0, 0, 87.1611, 0, 0, 0, 223.677, 0, 0, 100, 0, 0, 0, 227.103, 0, 0, 100, 0, 0, 0, 228.973, 0, 0, 98.6111, 0, 0, 0, 227.635, 0, 0, 100, 0, 0, 0, 220.127, 0, 0, 91.2995, 0, 0, 0, 227.898, 0, 0, 100, 0, 0, 0, 219.388, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 219.07, 0, 0, 97.0756, 0, 0, 0, 223.092, 0, 0, 96.1754, 0, 0, 0, 222.445, 0, 0, 94.9102, 0, 0, 0, 221.203, 0, 0, 96.8542, 0, 0, 0, 221.43, 0, 0, 88.5119, 0, 0, 0, 228.602, 0, 0, 100, 0, 0, 0, 220.94, 0, 0, 91.5087, 0, 0, 0, 228.77, 0, 0, 100, 0, 0, 0, 226.075, 0, 0, 100, 0, 0, 0, 219.798, 0, 0, 87.1611, 0, 0, 0, 222.87, 0, 0, 100, 0, 0, 0, 226.314, 0, 0, 100, 0, 0, 0, 228.161, 0, 0, 98.6111, 0, 0, 0, 226.837, 0, 0, 100, 0, 0, 0, 219.372, 0, 0, 91.2995, 0, 0, 0, 227.096, 0, 0, 100, 0, 0, 0, 218.632, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 218.002, 0, 0, 97.0756, 0, 0, 0, 222.006, 0, 0, 96.1754, 0, 0, 0, 221.328, 0, 0, 94.9102, 0, 0, 0, 220.087, 0, 0, 96.8542, 0, 0, 0, 220.365, 0, 0, 88.5119, 0, 0, 0, 227.504, 0, 0, 100, 0, 0, 0, 219.861, 0, 0, 91.5087, 0, 0, 0, 227.653, 0, 0, 100, 0, 0, 0, 224.939, 0, 0, 100, 0, 0, 0, 218.692, 0, 0, 87.1611, 0, 0, 0, 221.699, 0, 0, 100, 0, 0, 0, 225.251, 0, 0, 100, 0, 0, 0, 227.092, 0, 0, 98.6111, 0, 0, 0, 225.753, 0, 0, 100, 0, 0, 0, 218.326, 0, 0, 91.2995, 0, 0, 0, 226.002, 0, 0, 100, 0, 0, 0, 217.583, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 218.549, 0, 0, 97.0756, 0, 0, 0, 222.605, 0, 0, 96.1754, 0, 0, 0, 221.929, 0, 0, 94.9102, 0, 0, 0, 220.662, 0, 0, 96.8542, 0, 0, 0, 220.936, 0, 0, 88.5119, 0, 0, 0, 228.116, 0, 0, 100, 0, 0, 0, 220.431, 0, 0, 91.5087, 0, 0, 0, 228.268, 0, 0, 100, 0, 0, 0, 225.551, 0, 0, 100, 0, 0, 0, 219.243, 0, 0, 87.1611, 0, 0, 0, 222.261, 0, 0, 100, 0, 0, 0, 225.833, 0, 0, 100, 0, 0, 0, 227.7, 0, 0, 98.6111, 0, 0, 0, 226.337, 0, 0, 100, 0, 0, 0, 218.872, 0, 0, 91.2995, 0, 0, 0, 226.587, 0, 0, 100, 0, 0, 0, 218.127, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 218.528, 0, 0, 97.0756, 0, 0, 0, 222.659, 0, 0, 96.1754, 0, 0, 0, 221.959, 0, 0, 94.9102, 0, 0, 0, 220.645, 0, 0, 96.8542, 0, 0, 0, 220.958, 0, 0, 88.5119, 0, 0, 0, 228.182, 0, 0, 100, 0, 0, 0, 220.44, 0, 0, 91.5087, 0, 0, 0, 228.322, 0, 0, 100, 0, 0, 0, 225.58, 0, 0, 100, 0, 0, 0, 219.194, 0, 0, 87.1611, 0, 0, 0, 222.17, 0, 0, 100, 0, 0, 0, 225.876, 0, 0, 100, 0, 0, 0, 227.786, 0, 0, 98.6111, 0, 0, 0, 226.366, 0, 0, 100, 0, 0, 0, 218.867, 0, 0, 91.2995, 0, 0, 0, 226.609, 0, 0, 100, 0, 0, 0, 218.116, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 217.968, 0, 0, 97.0756, 0, 0, 0, 222.12, 0, 0, 96.1754, 0, 0, 0, 221.394, 0, 0, 94.9102, 0, 0, 0, 220.062, 0, 0, 96.8542, 0, 0, 0, 220.418, 0, 0, 88.5119, 0, 0, 0, 227.642, 0, 0, 100, 0, 0, 0, 219.886, 0, 0, 91.5087, 0, 0, 0, 227.766, 0, 0, 100, 0, 0, 0, 225.005, 0, 0, 100, 0, 0, 0, 218.603, 0, 0, 87.1611, 0, 0, 0, 221.53, 0, 0, 100, 0, 0, 0, 225.345, 0, 0, 100, 0, 0, 0, 227.268, 0, 0, 98.6111, 0, 0, 0, 225.819, 0, 0, 100, 0, 0, 0, 218.326, 0, 0, 91.2995, 0, 0, 0, 226.053, 0, 0, 100, 0, 0, 0, 217.57, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 213.307, 0, 0, 97.0756, 0, 0, 0, 217.257, 0, 0, 96.1754, 0, 0, 0, 216.436, 0, 0, 94.9102, 0, 0, 0, 215.186, 0, 0, 96.8542, 0, 0, 0, 215.702, 0, 0, 88.5119, 0, 0, 0, 222.708, 0, 0, 100, 0, 0, 0, 215.127, 0, 0, 91.5087, 0, 0, 0, 222.77, 0, 0, 100, 0, 0, 0, 219.965, 0, 0, 100, 0, 0, 0, 213.825, 0, 0, 87.1611, 0, 0, 0, 216.528, 0, 0, 100, 0, 0, 0, 220.604, 0, 0, 100, 0, 0, 0, 222.431, 0, 0, 98.6111, 0, 0, 0, 221.009, 0, 0, 100, 0, 0, 0, 213.738, 0, 0, 91.2995, 0, 0, 0, 221.21, 0, 0, 100, 0, 0, 0, 212.974, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 213.84, 0, 0, 97.0756, 0, 0, 0, 217.865, 0, 0, 96.1754, 0, 0, 0, 217.038, 0, 0, 94.9102, 0, 0, 0, 215.747, 0, 0, 96.8542, 0, 0, 0, 216.271, 0, 0, 88.5119, 0, 0, 0, 223.333, 0, 0, 100, 0, 0, 0, 215.692, 0, 0, 91.5087, 0, 0, 0, 223.393, 0, 0, 100, 0, 0, 0, 220.576, 0, 0, 100, 0, 0, 0, 214.352, 0, 0, 87.1611, 0, 0, 0, 217.053, 0, 0, 100, 0, 0, 0, 221.191, 0, 0, 100, 0, 0, 0, 223.058, 0, 0, 98.6111, 0, 0, 0, 221.594, 0, 0, 100, 0, 0, 0, 214.275, 0, 0, 91.2995, 0, 0, 0, 221.793, 0, 0, 100, 0, 0, 0, 213.507, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 212.602, 0, 0, 97.0756, 0, 0, 0, 216.613, 0, 0, 96.1754, 0, 0, 0, 215.748, 0, 0, 94.9102, 0, 0, 0, 214.454, 0, 0, 96.8542, 0, 0, 0, 215.043, 0, 0, 88.5119, 0, 0, 0, 222.069, 0, 0, 100, 0, 0, 0, 214.444, 0, 0, 91.5087, 0, 0, 0, 222.106, 0, 0, 100, 0, 0, 0, 219.265, 0, 0, 100, 0, 0, 0, 213.068, 0, 0, 87.1611, 0, 0, 0, 215.687, 0, 0, 100, 0, 0, 0, 219.967, 0, 0, 100, 0, 0, 0, 221.831, 0, 0, 98.6111, 0, 0, 0, 220.345, 0, 0, 100, 0, 0, 0, 213.065, 0, 0, 91.2995, 0, 0, 0, 220.53, 0, 0, 100, 0, 0, 0, 212.292, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 213.308, 0, 0, 97.0756, 0, 0, 0, 217.343, 0, 0, 96.1754, 0, 0, 0, 216.494, 0, 0, 94.9102, 0, 0, 0, 215.192, 0, 0, 96.8542, 0, 0, 0, 215.753, 0, 0, 88.5119, 0, 0, 0, 222.808, 0, 0, 100, 0, 0, 0, 215.162, 0, 0, 91.5087, 0, 0, 0, 222.856, 0, 0, 100, 0, 0, 0, 220.023, 0, 0, 100, 0, 0, 0, 213.794, 0, 0, 87.1611, 0, 0, 0, 216.452, 0, 0, 100, 0, 0, 0, 220.679, 0, 0, 100, 0, 0, 0, 222.553, 0, 0, 98.6111, 0, 0, 0, 221.068, 0, 0, 100, 0, 0, 0, 213.758, 0, 0, 91.2995, 0, 0, 0, 221.26, 0, 0, 100, 0, 0, 0, 212.987, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 212.586, 0, 0, 97.0756, 0, 0, 0, 216.523, 0, 0, 96.1754, 0, 0, 0, 215.682, 0, 0, 94.9102, 0, 0, 0, 214.433, 0, 0, 96.8542, 0, 0, 0, 214.983, 0, 0, 88.5119, 0, 0, 0, 221.966, 0, 0, 100, 0, 0, 0, 214.399, 0, 0, 91.5087, 0, 0, 0, 222.016, 0, 0, 100, 0, 0, 0, 219.198, 0, 0, 100, 0, 0, 0, 213.079, 0, 0, 87.1611, 0, 0, 0, 215.738, 0, 0, 100, 0, 0, 0, 219.887, 0, 0, 100, 0, 0, 0, 221.709, 0, 0, 98.6111, 0, 0, 0, 220.278, 0, 0, 100, 0, 0, 0, 213.032, 0, 0, 91.2995, 0, 0, 0, 220.471, 0, 0, 100, 0, 0, 0, 212.265, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 224.681, 0, 0, 97.0756, 0, 0, 0, 224.683, 0, 0, 96.1754, 0, 0, 0, 224.135, 0, 0, 94.9102, 0, 0, 0, 224.135, 0, 0, 96.8542, 0, 0, 0, 224.956, 0, 0, 88.5119, 0, 0, 0, 224.956, 0, 0, 100, 0, 0, 0, 224.681, 0, 0, 91.5087, 0, 0, 0, 224.681, 0, 0, 100, 0, 0, 0, 224.135, 0, 0, 100, 0, 0, 0, 224.136, 0, 0, 87.1611, 0, 0, 0, 223.315, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 100, 0, 0, 0, 225.369, 0, 0, 98.6111, 0, 0, 0, 225.093, 0, 0, 100, 0, 0, 0, 225.093, 0, 0, 91.2995, 0, 0, 0, 224.955, 0, 0, 100, 0, 0, 0, 224.956, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 227.149, 0, 0, 97.0756, 0, 0, 0, 227.151, 0, 0, 96.1754, 0, 0, 0, 226.65, 0, 0, 94.9102, 0, 0, 0, 226.649, 0, 0, 96.8542, 0, 0, 0, 227.4, 0, 0, 88.5119, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.149, 0, 0, 91.5087, 0, 0, 0, 227.149, 0, 0, 100, 0, 0, 0, 226.65, 0, 0, 100, 0, 0, 0, 226.65, 0, 0, 87.1611, 0, 0, 0, 225.899, 0, 0, 100, 0, 0, 0, 227.777, 0, 0, 100, 0, 0, 0, 227.777, 0, 0, 98.6111, 0, 0, 0, 227.525, 0, 0, 100, 0, 0, 0, 227.526, 0, 0, 91.2995, 0, 0, 0, 227.4, 0, 0, 100, 0, 0, 0, 227.4, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 229.152, 0, 0, 97.0756, 0, 0, 0, 229.154, 0, 0, 96.1754, 0, 0, 0, 228.699, 0, 0, 94.9102, 0, 0, 0, 228.698, 0, 0, 96.8542, 0, 0, 0, 229.38, 0, 0, 88.5119, 0, 0, 0, 229.381, 0, 0, 100, 0, 0, 0, 229.152, 0, 0, 91.5087, 0, 0, 0, 229.152, 0, 0, 100, 0, 0, 0, 228.699, 0, 0, 100, 0, 0, 0, 228.699, 0, 0, 87.1611, 0, 0, 0, 228.017, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 100, 0, 0, 0, 229.723, 0, 0, 98.6111, 0, 0, 0, 229.494, 0, 0, 100, 0, 0, 0, 229.495, 0, 0, 91.2995, 0, 0, 0, 229.38, 0, 0, 100, 0, 0, 0, 229.38, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 230.524, 0, 0, 97.0756, 0, 0, 0, 230.525, 0, 0, 96.1754, 0, 0, 0, 230.106, 0, 0, 94.9102, 0, 0, 0, 230.106, 0, 0, 96.8542, 0, 0, 0, 230.735, 0, 0, 88.5119, 0, 0, 0, 230.735, 0, 0, 100, 0, 0, 0, 230.524, 0, 0, 91.5087, 0, 0, 0, 230.524, 0, 0, 100, 0, 0, 0, 230.106, 0, 0, 100, 0, 0, 0, 230.106, 0, 0, 87.1611, 0, 0, 0, 229.477, 0, 0, 100, 0, 0, 0, 231.051, 0, 0, 100, 0, 0, 0, 231.051, 0, 0, 98.6111, 0, 0, 0, 230.84, 0, 0, 100, 0, 0, 0, 230.84, 0, 0, 91.2995, 0, 0, 0, 230.734, 0, 0, 100, 0, 0, 0, 230.735, 0, 0, 95.7331, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 229.081, 0, 0, 97.0756, 0, 0, 0, 229.082, 0, 0, 96.1754, 0, 0, 0, 228.634, 0, 0, 94.9102, 0, 0, 0, 228.634, 0, 0, 96.8542, 0, 0, 0, 229.306, 0, 0, 88.5119, 0, 0, 0, 229.306, 0, 0, 100, 0, 0, 0, 229.081, 0, 0, 91.5087, 0, 0, 0, 229.081, 0, 0, 100, 0, 0, 0, 228.634, 0, 0, 100, 0, 0, 0, 228.634, 0, 0, 87.1611, 0, 0, 0, 227.962, 0, 0, 100, 0, 0, 0, 229.643, 0, 0, 100, 0, 0, 0, 229.643, 0, 0, 98.6111, 0, 0, 0, 229.418, 0, 0, 100, 0, 0, 0, 229.418, 0, 0, 91.2995, 0, 0, 0, 229.305, 0, 0, 100, 0, 0, 0, 229.305, 0, 0, 95.7331, 0, 0, 0, 
