Time, 11_EV, 15_EV, 16_EV, 17_EV, 18_EV, 20_EV, 21_EV, 26_EV, 27_EV, 31_EV, 32_EV, 34_EV, 38_EV, 39_EV, 3_EV, 41_EV, 48_EV, 4_EV, 50_EV, 51_EV, 53_EV, 54_EV, 55_EV, 56_EV, 58_EV, 5_EV, 61_EV, 62_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 
2019 Aug 19 (Mon) 0:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 0:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 1:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 1:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 2:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 3:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 4:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 5:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 6:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 7:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:00, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 8:30, 0, 0, 0, 0, 7400, 7400, 7400, 0, 0, 7400, 0, 7400, 7400, 7400, 7400, 0, 0, 0, 0, 7400, 0, 0, 7400, 7400, 0, 0, 0, 7400, 7400, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 9:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 9:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 10:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 10:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2019 Aug 19 (Mon) 18:30, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 5817.56, 
2019 Aug 19 (Mon) 19:00, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 5790.19, 
2019 Aug 19 (Mon) 19:30, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 5727.69, 
2019 Aug 19 (Mon) 20:00, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 5860.66, 
2019 Aug 19 (Mon) 20:30, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 5847.07, 
2019 Aug 19 (Mon) 21:00, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 5915.21, 
2019 Aug 19 (Mon) 21:30, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 6064.09, 
2019 Aug 19 (Mon) 22:00, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 6362.06, 
2019 Aug 19 (Mon) 22:30, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 6574.62, 
2019 Aug 19 (Mon) 23:00, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 6874.92, 
2019 Aug 19 (Mon) 23:30, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 7171.54, 
2019 Aug 20 (Tue) 0:00, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 7400, 
